Site_list,Email_title,hr_interval,min_lot_size,OPERATION,Vmin_token,decode_script,TP,delta,x_iqr,ss_target,ss_rest,exclusion,Comment,prodgroup3,platform
"A01','A48','A90",HDMX_Vmin Check per Socket Result_MTL,5,200,"6248','6249','7820','7827",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,MTL%,0.028,1.5,20,300,,,MTLH682;MTLU281;MTLU282;MTLM282;MTLPS2;MTLPS6,client
A90,HDMX_Vmin Check per Socket Result_LNLM442,5,200,"6248','6249','7820','7827','6167",VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW%,type1,LNLM%,0.028,1.5,20,300,,,LNLM442,client
A90,HDMX_Vmin Check per Socket Result_BMG21,5,200,"6261','6262",%VA-IN-NA-GSDS_D_S::FAST_UPSVFPASSFLOW%,type1,BMG%,0.028,1.5,20,300,,,BMG21,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_BMG21,5,200,"6261','6262",%VA-IN-NA-GSDS_D_S::FAST_UPSVPGPASSFLOW%,type1,BMG%,0.028,1.5,20,300,,,BMG21,GRAPHICS
"A01','A90",HDMX_Vmin Check per Socket Result_ARLS816L,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ARLSL%,0.028,1.5,20,300,,,ARLS816L,client
A90,HDMX_Vmin Check per Socket Result_ARLS816B,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ARLSB%,0.028,1.5,20,300,,,ARLS816B,client
A90,HDMX_Vmin Check per Socket Result_ASL,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ASL%,0.028,1.5,20,300,,,ASL,SOC
A90,HDMX_Vmin Check per Socket Result_TWL,5,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TWL%,0.028,1.5,20,300,,,TWL,SOC
A48,HDMX_Vmin Check per Socket Result_ARLU281,5,200,"6248','6249','7820','7827",%VA-IN-NA-GSDS_D_S::FAST_UPSVFPASSFLOW%,type1,ARLUAX7%,0.028,1.5,20,300,,,ARLU281,client
A48,HDMX_Vmin Check per Socket Result_ARLS681,5,200,"6248','6249','7820','7827",%VA-IN-NA-GSDS_D_S::FAST_UPSVFPASSFLOW%,type1,ARLSCZ5%,0.028,1.5,20,300,,,ARLS681,client
"A01','A48",HDMX_Vmin Check per Socket Result_ARLH682,5,200,"6248','6249','7820','7827",VA-IN-NA-GSDS_D_S::FAST_UPSVFPASSFLOW,type1,ARLHCX7%,0.028,1.5,20,300,,,ARLH682,Client
"A48','A90",HDMX_Vmin Check per Socket Result_RPLP282;RPLP282IOTG,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLP2H6%,0.028,1.5,20,300,,,RPLP282;RPLP282IOTG,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPLP682;RPLPX682;RPLP682IOTG,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLP6H6%,0.028,1.5,20,300,,,RPLP682;RPLPX682;RPLP682IOTG,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPLS601;RPLG601;RPRS601,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS6P5%,0.028,1.5,20,300,,,RPLS601;RPLG601;RPRS601,Client
"A01','A90",HDMX_Vmin Check per Socket Result_RPLS8BGA;RHX8161,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8H6%,0.028,1.5,20,300,,,RPLS8BGA;RHX8161,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPL8161;RPG8161;RPR8161;RRC8161,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8P5B%,0.028,1.5,20,300,,,RPL8161;RPG8161;RPR8161;RRC8161,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPLS881;RPLG881;RPRS881,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8P5C%,0.028,1.5,20,300,,,RPLS881;RPLG881;RPRS881,Client
A48,HDMX_Vmin Check per Socket Result_RPRP282,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLU2H6%,0.028,1.5,20,300,,,RPRP282,Client
A90,HDMX_Vmin Check per Socket Result_RPLPS2,5,200,"6248','6249','7820','7827",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW*,type1,RPLP2W7%,0.028,1.5,20,300,,,RPLPS2,Client
A90,HDMX_Vmin Check per Socket Result_RPLPS6,5,200,"6248','6249','7820','7827",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW*,type1,RPLP6W7%,0.028,1.5,20,300,,,RPLPS6,Client
A48,HDMX_Vmin Check per Socket Result_RPLP680,5,200,"6248','6249','7820','6261','6193','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,EGHP6H6%,0.028,1.5,20,300,,,RPLP680,Client
A90,HDMX_Vmin Check per Socket Result_RPRP682,5,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLH6H6%,0.028,1.5,20,300,,,RPRP682,Client
"A15','A90",HDMX_Vmin Check per Socket Result_AXLF,5,200,"6261','6262','6267",%PBIC_S1::FAST_UPSVF%,type1,AXLUMA9F%,0.028,1.5,20,300,,,AXLF,SOC
A01,HDMX_Vmin Check per Socket Result_ICDHCC;ICDLCC,5,200,"6261','6262','6267",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ICD%,0.028,1.3,10,150,,,ICDHCC;ICDLCC,Server
"A01','A90",HDMX_Vmin Check per Socket Result_SNWRDG,5,200,"6261','6262','6267",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,SNR%,0.028,1.5,10,150,,,SNWRDG,5G
"A01','A06",HDMX_Vmin Check per Socket Result_SPR112,8,200,"6261','6262','6267','6092",YBS_INTERP_POST::INTERPPOST_X_USERFUNC_K_END_X_X_X_X_INTERPPOST_INTERPOLATION_RESULTS_%,type1,SPR112%,0.028,1.3,10,150,,,SPR112,server
"A01','A06",HDMX_Vmin Check per Socket Result_CPXXCP,5,200,"6248','6249','7820','7827",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CPX%,0.028,1.5,10,150,,,CPXXCP,Server
A01,HDMX_Vmin Check per Socket Result_PVC2SK;PVC2SS,5,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,PVC%,0.028,1.5,10,150,,,PVC2SK;PVC2SS,GPU
"A01','A48",HDMX_Vmin Check per Socket Result_SPRXCP;SPRXCS,5,200,"6261','6262','6267','6092",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW_UPS_,type2,SPRSVSPE%,0.028,1.3,10,150,,,SPRXCP;SPRXCS,Server
"A06','A15",HDMX_Vmin Check per Socket Result_SPRXCP;SPRXCS,5,200,"6261','6262','6267','6092",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW_UPS_,type2,SPRSVSPE%,0.028,1.5,10,150,,,SPRXCP;SPRXCS,Server
"A06','A15",HDMX_Vmin Check per Socket Result_SPRMCP,5,200,"6261','6262','6267",YBS_INTERP_POST::INTERPPOST_X_USERFUNC_K_END_X_X_X_X_INTERPPOST_INTERPOLATION_RESULTS_%,type1,SPRSVSPS%,0.028,1.5,10,150,,,SPRMCP,Server
A06,HDMX_Vmin Check per Socket Result_CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,5,200,"6261','6262','6267",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CLXS%,0.028,1.5,10,150,,,CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,Server
A01,HDMX_Vmin Check per Socket Result_CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,5,200,"6261','6262','6267",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,CLXS%,0.028,1.3,10,150,,,CLX64L;CLXHCP;CLXLCP;CLXXCP;CLXSHR,Server
"A01','A15",HDMX_Vmin Check per Socket Result_SKXHCC;SKXLCR;SKXXCC;SKXLCC,5,200,"6261','6262','6267",VA_IN___PBIC_DAB::UPS_VF,type1,SKX%,0.028,1.5,10,150,,,SKXHCC;SKXLCR;SKXXCC;SKXLCC,Server
A90,HDMX_Vmin Check per Socket Result_GLK,5,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW,type1,GLK%,0.028,1.5,20,300,,,GLK,SOC
A90,HDMX_Vmin Check per Socket Result_APK,5,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVF,type1,APL%,0.028,1.5,20,300,,,APK,SOC
A90,HDMX_Vmin Check per Socket Result_CGM,5,200,"6261','6262','6267",VA_IN_-_PBIC_DAB::FAST_UPSVF,type1,CGM%,0.028,1.5,20,300,,,CGM,SOC
A15,HDMX_Vmin Check per Socket Result_SPREMC,5,200,"6261','6262','6267",VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,EEMSVSP%,0.028,1.5,10,150,,,SPREMC,Server
A15,HDMX_Vmin Check per Socket Result_SPREEC,5,200,"6261','6262','6267",VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,XEESVSP%,0.028,1.5,10,150,,,SPREEC,Server
"A06','A15",HDMX_Vmin Check per Socket Result_EMRXCP,5,200,"6261','6262','6267",VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,EMR%,0.028,1.5,10,150,,,EMRXCP,Server
"A06','A15",HDMX_Vmin Check per Socket Result_EMRMCC,5,200,"6261','6262','6267",YBS_INTERP_POST::INTERPPOST_X_USERFUNC_K_END_X_X_X_X_INTERPPOST_INTERPOLATION_RESULTS_%,type1,EMR%,0.028,1.5,10,150,,,EMRMCP,Server
A90,HDMX_Vmin Check per Socket Result_GRR,5,200,"6261','6262','6267','6163",%VA_IN_-_PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,GRR%,0.028,1.5,10,150,,,GRR,5G
"A06','A15",HDMX_Vmin Check per Socket Result_GNRUCC,5,200,"6261','6262','6267",VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,GNR%,0.028,1.5,10,150,,,GNRUCC,Server
A15,HDMX_Vmin Check per Socket Result_MGR,5,200,6167,VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,MGR%,0.028,1.5,10,150,,,MGR,Server
"A06','A15",HDMX_Vmin Check per Socket Result_SFHDCC,5,200,6167,VA_IN___PBIC_DAB::FAST_UPSVFPASSFLOW,type1,SRF%,0.028,1.5,10,150,,,SFHDCC,Server
