Site_list,Email_title,hr_interval,min_lot_size,OPERATION,Vmin_token,decode_script,TP,delta,x_iqr,ss_target,ss_rest,exclusion,Comment,prodgroup3,platform
A90,HDMX_Vmin Check per Socket Result_DG128,4,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2B%,0.028,1.5,20,300,,,DG128,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_DG512,4,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2C%,0.028,1.5,20,300,,,DG512,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_DG256,4,200,"6261','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,DG2XXP2A%,0.028,1.5,20,300,,,DG256,GRAPHICS
A90,HDMX_Vmin Check per Socket Result_EHB,4,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,EHB%,0.028,1.5,20,300,,,EHB,SOC
A90,HDMX_Vmin Check per Socket Result_EHL,4,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,EHL%,0.028,1.5,20,300,,,EHL,SOC
"A15','A06",HDMX_Vmin Check per Socket Result_ICXXCP;ICX SP;ICXHCP,4,200,"6261','6262','6267",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ICXSVSP%,0.028,1.5,10,150,,,ICXXCP;ICX SP;ICXHCP,Server
A90,HDMX_Vmin Check per Socket Result_JSL,4,200,"6248','6249','7820','7827','6262",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,JSL%,0.028,1.5,20,300,,,JSL,SOC
A90,HDMX_Vmin Check per Socket Result_KBZ,4,200,6262,%VA_IN_-_PBIC_S1::FAST_UPSVF_FINAL%,type1,KBLD%,0.028,1.5,20,300,,,KBZ,client
"A48','A90",HDMX_Vmin Check per Socket Result_RKLS81,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RKL%,0.028,1.5,20,300,,,RKLS81,client
A90,HDMX_Vmin Check per Socket Result_SDW,4,200,6261,%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,SDW%,0.028,1.5,20,300,,,SDW,5G
"A48','A15",HDMX_Vmin Check per Socket Result_TGLH81,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLHAQ2%,0.028,1.5,20,300,,,TGLH81,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGLUP3,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6B0G%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP3,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGLUP3IOTG,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6B0H%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP3IOTG,client
"A48','A90",HDMX_Vmin Check per Socket Result_TGRUP3,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGLUTH6C%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGRUP3,client
A90,HDMX_Vmin Check per Socket Result_TGLUP4,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,TGY%,0.028,1.5,20,300,"Vmin@CR@4.200@4','Vmin@CR@4.200@5','Vmin@CR@4.200@6','Vmin@CR@4.200@7",,TGLUP4,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLM282,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLM2%,0.028,1.5,20,300,,,ADLM282,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLP282;ADLP282IOTG,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP2H6%,0.028,1.5,20,300,Vmin@SAQ@0.600@,,ADLP282;ADLP282IOTG,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLP682,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP6H6%,0.028,1.5,20,300,,,ADLP682,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLPS6,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP6W7%,0.028,1.5,20,300,,,ADLPS6,client
A90,HDMX_Vmin Check per Socket Result_ADLPS2,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLP2W7%,0.028,1.5,20,300,,,ADLPS2,client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_ADLS601;ADLG601,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS6P5%,0.028,1.5,20,300,,,ADLS601;ADLG601,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADL881BGA,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS8H6%,0.028,1.5,20,300,,,ADL881BGA,client
"A48','A90",HDMX_Vmin Check per Socket Result_ADLS881;ADLG881,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,ADLS8P5%,0.028,1.5,20,300,,,ADLS881;ADLG881,client
"A48','A90",HDMX_Vmin Check per Socket Result_RPLP282;RPLP282IOTG,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLP2H6%,0.027,1.3,20,300,,,RPLP282;RPLP282IOTG,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPLP682;RPLPX682;RPLP682IOTG,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLP6H6%,0.027,1.3,20,300,,,RPLP682;RPLPX682;RPLP682IOTG,Client
"A01','A90",HDMX_Vmin Check per Socket Result_RPLS601;RPLG601,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS6P5%,0.027,1.3,20,300,,,RPLS601;RPLG601,Client
"A01','A90",HDMX_Vmin Check per Socket Result_RPLS8BGA;RHX8161,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8H6%,0.02,0.7,20,300,,,RPLS8BGA;RHX8161,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPL8161;RPG8161,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8P5B%,0.027,1.3,20,300,,,RPL8161;RPG8161,Client
"A01','A48','A90",HDMX_Vmin Check per Socket Result_RPLS881;RPLG881,4,200,"6248','6249','7820','7827",%PBIC_DAB::FAST_UPSVFPASSFLOW%,type1,RPLS8P5C%,0.027,1.3,20,300,,,RPLS881;RPLG881,Client
A01,HDMX_Vmin Check per Socket Result_ICDHCC;ICDLCC,4,50,"6263','6134",%X_PMU_K_PCH_X_X_VMAX_REV3_1P8%,type2,SNR%,0.028,1.5,10,150,,,ICDHCC;ICDLCC,Server
